PROP_ADDR,OCC_CLS,PRIM_OCC,SEC_OCC,SQFEET,CENSUSCODE,geometry
3869 TOMAHAWK ROAD,Residential,Single Family Dwelling,,4483.159,21159950202,POINT (5831153.930920127 3854922.3822572245)
387 COLLINS BRANCH,Unclassified,Unclassified,,1120.794,21159950201,POINT (5859760.686262891 3838922.654365751)
387 EAST MAIN STREET,Unclassified,Unclassified,,28481.4,21159950202,POINT (5849564.329656481 3855877.116131469)
387 ORVILLE ROAD,Residential,Single Family Dwelling,,1384.498,21159950202,POINT (5817183.152787611 3848536.590396143)
387 ROCKY TOP HILL,Residential,Single Family Dwelling,,2505.3,21159950202,POINT (5848928.351672218 3883897.1658246126)
3870 COLDWATER ROAD,Residential,Single Family Dwelling,,1483.403,21159950201,POINT (5856081.375309982 3834647.2394522238)
3870 TURKEY CREEK,Residential,Single Family Dwelling,,6131.394,21159950100,POINT (5862875.305654015 3866964.682377944)
3871 RIVER FRONT ROAD,Commercial,Personal and Repair Services,,2538.28,21159950100,POINT (5891720.373613529 3838025.5278805085)
3874 RIVER FRONT ROAD,Residential,Manufactured Home,,3626.104,21159950100,POINT (5891989.618909328 3838198.226270957)
3876 NORTH MILO ROAD,Residential,Single Family Dwelling,,1318.589,21159950202,POINT (5837924.528455852 3873368.127785658)
388 CAMP BRANCH,Residential,Manufactured Home,,3494.2086000000004,21159950201,POINT (5853136.931706559 3845991.412702015)
388 CARDINAL LANE,Unclassified,Unclassified,,70412.18,21159950201,POINT (5849544.608497657 3852839.234283286)
388 ROCKHOUSE ROAD,Unclassified,Unclassified,,791.1417,21159950202,POINT (5831494.874300566 3853612.9626723225)
3880 NORTH WOLF CREEK,Residential,Unclassified,,2439.3767,21159950100,POINT (5882652.185497215 3836308.5946321385)
3882 HODE ROAD,Residential,Unclassified,,3296.447,21159950100,POINT (5882002.1787996385 3862287.4737287867)
3884 HODE ROAD,Unclassified,Unclassified,,1186.74,21159950100,POINT (5882057.952674539 3862319.3155286214)
3886 BUFFALO HORN ROAD,Residential,Manufactured Home,,1384.514,21159950202,POINT (5854426.352623338 3884455.095326452)
3886 NEW ROUTE 3,Commercial,Retail Trade,,1582.295,21159950202,POINT (5838798.116233066 3832140.191782833)
3888 TURKEY CREEK,Residential,Single Family Dwelling,,1977.867,21159950100,POINT (5862708.117146623 3867062.1317402874)
3889 NORTH WOLF CREEK,Residential,Manufactured Home,,1977.863,21159950100,POINT (5882690.542892762 3836514.0657063657)
389 BIG ELK ROAD,Residential,Single Family Dwelling,,3115.115,21159950100,POINT (5876405.549488039 3847724.63839377)
389 CARDINAL LANE,Unclassified,Unclassified,,1318.578,21159950201,POINT (5849498.367538074 3852554.8432038934)
3892 BUFFALO HORN ROAD,Residential,Manufactured Home,,1071.344,21159950202,POINT (5854344.74514055 3884484.432392451)
3892 TOMAHAWK ROAD,Industrial,Light,,725.2217,21159950202,POINT (5831019.519535531 3854932.3607533188)
3893 BLACKLOG ROAD,Residential,Manufactured Home,,2175.665,21159950100,POINT (5862069.125899979 3844733.87863086)
3893 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1384.497,21159950100,POINT (5891771.044205174 3838126.341819483)
3894 NEW ROUTE 3,Residential,Single Family Dwelling,,4219.4655,21159950202,POINT (5838796.8782597715 3831999.8180012912)
3898 NORTH MILO ROAD,Residential,Single Family Dwelling,,1582.292,21159950202,POINT (5838101.201292427 3873395.025649446)
39 FIELDS TRAILER COURT,Residential,Unclassified,,1120.793,21159950202,POINT (5832978.550661233 3858629.183274852)
39 HALE AVENUE,Residential,Single Family Dwelling,,2637.148,21159950100,POINT (5888369.045402509 3841848.712214127)
39 HOLY STREET,Residential,Single Family Dwelling,,1582.293,21159950202,POINT (5847413.373933182 3854679.833602596)
39 JACKIE WHITT ROAD,Agriculture,Agriculture,,1054.855,21159950202,POINT (5853457.011534046 3885428.790976719)
39 JEFF JUDE ROAD,Residential,Unclassified,,1582.3,21159950201,POINT (5868939.724590342 3822622.907421511)
39 KENNEY HARLESS DRIVE,Residential,Single Family Dwelling,,3675.5640000000003,21159950202,POINT (5842222.297347623 3846566.552647251)
39 MOUNTAIN VIEW,Residential,Single Family Dwelling,,8818.015,21159950202,POINT (5858609.388424944 3875488.6958425883)
39 MURRAY ROAD,Residential,Single Family Dwelling,,3856.837,21159950201,POINT (5851352.389110298 3852716.2127500237)
39 PAUL HOWARD COURT,Unclassified,Unclassified,,1054.86,21159950201,POINT (5844403.718108818 3841342.8767395276)
39 PENIX DRIVE,Residential,Single Family Dwelling,,3214.036,21159950202,POINT (5846994.015195074 3855393.194682438)
39 SHADLE FLETCHER LANE,Residential,Single Family Dwelling,,1681.172,21159950201,POINT (5845927.256947104 3838370.894536705)
390 CHURCH FORK,Residential,Single Family Dwelling,,2900.8949000000002,21159950202,POINT (5855649.412917149 3874171.348771651)
390 ELI ROAD,Residential,Unclassified,,2769.013,21159950201,POINT (5847806.295725959 3848755.8586207777)
390 NORTH WOLF CREEK,Residential,Single Family Dwelling,,7367.5473,21159950300,POINT (5875788.2559562875 3825868.349741304)
3901 NORTH WOLF CREEK,Residential,Unclassified,,2472.344,21159950100,POINT (5882780.831472264 3836404.0953377625)
3911 BLACKLOG ROAD,Residential,Single Family Dwelling,,1384.496,21159950100,POINT (5862143.069263802 3844696.4252333874)
3912 BLACKLOG ROAD,Residential,Unclassified,,1780.072,21159950201,POINT (5862117.073083541 3844581.153933884)
3913 TURKEY CREEK,Residential,Manufactured Home,,527.4333,21159950202,POINT (5862471.365002203 3867125.2900985787)
3917 NORTH MILO ROAD,Residential,Single Family Dwelling,,1120.797,21159950202,POINT (5838067.86249084 3873605.4859109004)
3919 SOUTH WOLF CREEK,Residential,Manufactured Home,,2076.747,21159950300,POINT (5863436.773506522 3816173.209087743)
392 DAVELLA ROAD,Residential,Unclassified,,1153.758,21159950202,POINT (5837174.75558808 3829706.44230026)
392 EAST MAIN STREET,Commercial,Entertainment and Recreation,,1483.406,21159950201,POINT (5849839.3978383625 3855510.322124969)
392 SPRUCE PINE ROAD,Residential,Single Family Dwelling,,1582.3,21159950100,POINT (5859608.630164021 3861257.406515782)
3924 NORTH MILO ROAD,Residential,Single Family Dwelling,,4285.382,21159950202,POINT (5838259.139339122 3873488.0766693326)
3928 LITTLE ROCKCASTLE ROAD,Commercial,Retail Trade,,1846.032,21159950201,POINT (5873975.64132779 3827301.671430909)
393 BIG MUD LICK ROAD,Agriculture,Agriculture,,2637.159,21159950100,POINT (5862217.493766091 3862847.3107997235)
393 PETER CAVE BRANCH,Unclassified,Unclassified,,1582.302,21159950202,POINT (5849909.750492346 3878161.8343621176)
3935 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2768.992,21159950100,POINT (5891811.891462627 3838423.074717615)
394 PHOEBE TRACE,Residential,Single Family Dwelling,,923.0113,21159950100,POINT (5873588.790727859 3839707.3508638544)
3944 BLACKLOG ROAD,Residential,Manufactured Home,,1483.398,21159950201,POINT (5862206.774805945 3844524.3932731464)
3945 TURKEY CREEK,Residential,Manufactured Home,,2571.2342,21159950202,POINT (5862381.782407227 3867210.136200016)
3947 NORTH MILO ROAD,Residential,Unclassified,,1846.007,21159950202,POINT (5838208.603291289 3873757.3887025523)
395 ROCKHOUSE MILLS ROAD,Residential,Single Family Dwelling,,2109.731,21159950202,POINT (5828346.284471996 3849937.2288075527)
3958 ROCKHOUSE ROAD,Residential,Manufactured Home,,3164.5673,21159950202,POINT (5831164.599609797 3837227.193228053)
3959 SOUTH WOLF CREEK,Residential,Manufactured Home,,1582.304,21159950300,POINT (5863329.20937847 3816249.3533146274)
3960 NORTH MILO ROAD,Residential,Single Family Dwelling,,4713.9483,21159950202,POINT (5838387.619373249 3873573.954798434)
3968 BLACKLOG ROAD,Residential,Manufactured Home,,890.0474,21159950201,POINT (5862323.524697556 3844439.034373044)
397 BONE HOLLOW,Unclassified,Unclassified,,1120.79,21159950100,POINT (5874114.05735891 3845688.989938947)
397 JARRELL BRANCH,Residential,Single Family Dwelling,,2736.0452,21159950100,POINT (5870098.869458845 3869870.1153906644)
3972 NORTH WOLF CREEK,Residential,Unclassified,,1780.07,21159950100,POINT (5883169.452882339 3836250.908849086)
3973 ROCKHOUSE ROAD,Residential,Manufactured Home,,1780.086,21159950202,POINT (5831421.10634316 3837202.1920581954)
3974 BIG ELK ROAD,Unclassified,Unclassified,,1120.789,21159950100,POINT (5869936.147901806 3863004.542179686)
3980 BUFFALO HORN ROAD,Residential,Single Family Dwelling,,1384.494,21159950202,POINT (5853920.517180784 3884806.761222465)
3980 NORTH MILO ROAD,Residential,Single Family Dwelling,,27377.0407,21159950202,POINT (5839188.6390377665 3873995.7426506258)
3983 TOMAHAWK ROAD,Residential,Single Family Dwelling,,2472.336,21159950202,POINT (5830887.754865388 3854437.8099006275)
3985 NORTH WOLF CREEK,Unclassified,Unclassified,,725.2177,21159950100,POINT (5883160.252977238 3836443.7410946055)
3985 TURKEY CREEK,Residential,Single Family Dwelling,,3296.4521,21159950202,POINT (5862206.524766155 3867347.299177056)
3989 BLACKLOG ROAD,Residential,Single Family Dwelling,,2505.289,21159950100,POINT (5862436.5636554565 3844649.980191267)
399 BUCK BRANCH,Residential,Single Family Dwelling,,2142.696,21159950100,POINT (5882618.354795634 3840149.5230905763)
3990 LITTLE ROCKCASTLE ROAD,Residential,Single Family Dwelling,,461.5053,21159950201,POINT (5873912.580031573 3826919.6533061834)
3992 NORTH WOLF CREEK,Residential,Unclassified,,2801.975,21159950100,POINT (5883331.6342179105 3836334.655622794)
3997 NORTH WOLF CREEK,Residential,Unclassified,,2307.511,21159950100,POINT (5883215.8610238265 3836524.6603329764)
4 BOWEN CEMETERY ROAD,Residential,Single Family Dwelling,,1087.834,21159950202,POINT (5847254.5735834995 3865312.2493269476)
40 BLEVINS LOOP,Residential,Single Family Dwelling,,1565.816,21159950202,POINT (5824294.510854801 3851761.591769301)
40 CEDAR LANE,Residential,Single Family Dwelling,,3626.103,21159950202,POINT (5830395.687307155 3854104.069203894)
40 DIXIE LANE,Residential,Single Family Dwelling,,1977.882,21159950100,POINT (5891584.205818194 3837989.3564513754)
40 DOUG JOHNSON LANE,Residential,Single Family Dwelling,,2241.592,21159950202,POINT (5845399.55391596 3876685.8424961143)
40 HENRY GOBLE ROAD,Residential,Single Family Dwelling,,1054.868,21159950201,POINT (5856569.775033242 3850648.7657038537)
40 HORN BRANCH,Residential,Single Family Dwelling,,1961.383,21159950100,POINT (5854664.191842304 3857860.9475102946)
40 JAY HINKLE DRIVE,Residential,Single Family Dwelling,,3576.634,21159950100,POINT (5873568.699947215 3847332.4531304636)
40 JIM HARMON CIRCLE,Residential,Single Family Dwelling,,4351.299,21159950300,POINT (5883673.088548877 3826787.347526298)
40 JOE FLETCHER ROAD,Residential,Single Family Dwelling,,3626.082,21159950201,POINT (5858687.126005722 3837061.605172322)
40 MARY PERRY ROAD,Residential,Unclassified,,1648.225,21159950202,POINT (5830119.221397158 3841371.0758845853)
40 MUDDY BRANCH,Residential,Single Family Dwelling,,3790.89,21159950201,POINT (5857934.826138285 3838770.063150356)
40 NORTH WOLF CREEK,Residential,Manufactured Home,,1120.795,21159950300,POINT (5874103.123575958 3826585.9848122722)
40 PIGEON ROOST ROAD,Residential,Unclassified,,1054.858,21159950300,POINT (5876207.722725333 3825962.8720798083)
40 PONDEROSA DRIVE,Unclassified,Unclassified,,5142.4798,21159950202,POINT (5830955.734983832 3839122.2193390313)
40 POPLAR FORK,Residential,Single Family Dwelling,,1681.201,21159950100,POINT (5876070.813634593 3848381.653749772)
40 RESERVOIR ROAD,Residential,Single Family Dwelling,,2373.4368999999997,21159950202,POINT (5854102.356374441 3858221.546354167)
40 TAYLORS LANE,Residential,Single Family Dwelling,,3955.727,21159950300,POINT (5909640.05756267 3813620.2611528016)
40 TRAVIS JOHNSON PLACE,Residential,Manufactured Home,,1335.068,21159950202,POINT (5821842.653768101 3848701.9352003434)
40 UPPER JAMES LANE,Residential,Unclassified,,791.1537,21159950201,POINT (5854236.489903186 3847598.2912618592)
40 WADE MOLLETE ROAD,Residential,Single Family Dwelling,,1087.83,21159950202,POINT (5823940.842587 3833210.70178708)
400 SETSER BRANCH,Residential,Manufactured Home,,3032.724,21159950202,POINT (5831298.585308266 3828215.6789929406)
4001 TOMAHAWK ROAD,Government,General Services,,2076.742,21159950202,POINT (5830831.430456782 3854394.9263687315)
401 FITCH BRANCH,Residential,Single Family Dwelling,,2604.1899999999996,21159950202,POINT (5841147.785473147 3866604.420506838)
4010 LITTLE ROCKCASTLE ROAD,Commercial,Retail Trade,,1846.025,21159950201,POINT (5873972.179400202 3826843.759816236)
4015 TOMAHAWK ROAD,Residential,Single Family Dwelling,,2966.817,21159950202,POINT (5830760.666906556 3854352.5599803436)
402 EAST MAIN STREET,Residential,Single Family Dwelling,,2307.508,21159950201,POINT (5849865.632812637 3855598.804405644)
402 JOHNSON BOTTOM,Unclassified,Unclassified,,857.0768,21159950202,POINT (5844362.4324441515 3875936.687017054)
402 UPPER ALPHA BRANCH,Residential,Single Family Dwelling,,3065.7,21159950202,POINT (5839916.276555523 3864134.825409477)
4022 BLACKLOG ROAD,Residential,Single Family Dwelling,,3214.046,21159950201,POINT (5862356.21274913 3844213.092154165)
403 LITTLE LAUREL LANE,Residential,Manufactured Home,,2867.9292,21159950202,POINT (5847102.9266539 3885626.580647848)
403 ORVILLE ROAD,Residential,Single Family Dwelling,,1285.613,21159950202,POINT (5817203.384312475 3848473.691649434)
4032 BLACKLOG ROAD,Residential,Single Family Dwelling,,2505.317,21159950201,POINT (5862430.602385239 3844048.2050918597)
4035 NORTH WOLF CREEK,Residential,Unclassified,,3692.003,21159950100,POINT (5883403.352349 3836709.2414139896)
404 ROCKHOUSE MILLS ROAD,Unclassified,Unclassified,,527.4305,21159950202,POINT (5828315.237323696 3850065.036396929)
404 WEST EDEN LANE,Residential,Manufactured Home,,1318.609,21159950202,POINT (5841116.752112142 3859265.84176313)
4044 NORTH WOLF CREEK,Residential,Single Family Dwelling,,2142.692,21159950100,POINT (5883515.147023402 3836549.3932056515)
4045 RIVER FRONT ROAD,Residential,Single Family Dwelling,,3626.082,21159950100,POINT (5892436.461852864 3838729.302292697)
4051 SOUTH WOLF CREEK,Residential,Manufactured Home,,7960.92,21159950300,POINT (5864627.757372238 3817904.0791259157)
4056 NORTH MILO ROAD,Unclassified,Unclassified,,6048.981,21159950202,POINT (5838677.336368793 3874059.122548424)
4057 RIVER FRONT ROAD,Residential,Single Family Dwelling,,922.9984,21159950100,POINT (5892546.332228557 3838711.1378674353)
406 MOLLETT BRANCH,Unclassified,Unclassified,,527.4286,21159950202,POINT (5827731.6380856605 3845534.274571884)
4060 BUFFALO HORN ROAD,Unclassified,Unclassified,,1120.79,21159950202,POINT (5853610.614605032 3885082.2728391825)
4061 TOMAHAWK ROAD,Residential,Single Family Dwelling,,2736.0428,21159950202,POINT (5830321.405009556 3854440.7493014853)
407 NORTH WOLF CREEK,Residential,Single Family Dwelling,,4120.536,21159950100,POINT (5875838.380216053 3826126.5030734027)
407 WILDCAT BRANCH,Residential,Single Family Dwelling,,1582.312,21159950202,POINT (5824484.228231959 3847541.45694757)
4072 BLACKLOG ROAD,Residential,Single Family Dwelling,,1582.302,21159950201,POINT (5862499.870480325 3843913.6975410245)
4073 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1582.291,21159950100,POINT (5892602.92060212 3838654.7487618183)
4076 BIG ELK ROAD,Residential,Single Family Dwelling,,3197.5425,21159950100,POINT (5869746.9800105365 3863128.711434769)
408 AIRPORT ROAD,Unclassified,Unclassified,,1730.628,21159950201,POINT (5816450.024597552 3819212.498624541)
408 COLLINS CREEK,Residential,Single Family Dwelling,,4450.216,21159950100,POINT (5883562.595285395 3845914.969653054)
4086 HODE ROAD,Residential,Unclassified,,1516.3625,21159950100,POINT (5881129.844477431 3862987.4458651124)
409 BIG ELK ROAD,Residential,Single Family Dwelling,,1648.207,21159950100,POINT (5876352.445386549 3847826.6114887223)
409 PIGEON ROOST ROAD,Residential,Unclassified,,1582.286,21159950300,POINT (5876252.503858193 3824158.3478216217)
409 WEST MAIN STREET,Residential,Single Family Dwelling,,3164.577,21159950202,POINT (5846158.096015436 3855605.57413957)
4092 BLACKLOG ROAD,Residential,Manufactured Home,,3543.679,21159950201,POINT (5862537.081658977 3843810.5317326835)
4096 HODE ROAD,Unclassified,Unclassified,,988.9417,21159950100,POINT (5880947.16085441 3863078.7378885187)
41 BLANCHE GOBLE DRIVE,Residential,Single Family Dwelling,,5570.994699999999,21159950202,POINT (5833678.171645004 3826746.7631839723)
41 CHARLES MOLLETTE ROAD,Unclassified,Unclassified,,1186.733,21159950202,POINT (5824678.1335932175 3847735.0158774434)
41 DAVIS BRANCH,Residential,Manufactured Home,,3461.273,21159950100,POINT (5882481.705007085 3836615.9969318444)
41 DOGWOOD DRIVE,Commercial,Retail Trade,,1186.719,21159950100,POINT (5887317.488664638 3843629.4509807206)
41 ESTEP LANE,Unclassified,Unclassified,,1285.619,21159950202,POINT (5843675.282205065 3856170.7553787916)
41 FORREST WAY,Residential,Manufactured Home,,3461.267,21159950202,POINT (5829298.732697829 3848341.8592459126)
41 HUNTERS ROAD,Residential,Manufactured Home,,5241.3642,21159950202,POINT (5829381.65318931 3846086.648077015)
41 JACK CASSADY BRANCH,Residential,Manufactured Home,,2307.54,21159950201,POINT (5858757.628091884 3836989.851428621)
41 KYLA LANE,Residential,Single Family Dwelling,,1120.788,21159950201,POINT (5852649.1405625045 3852686.894452505)
41 MUNCYVILLE ROAD,Residential,Unclassified,,3131.622,21159950100,POINT (5885573.141057649 3838847.288011672)
41 PATRICK LANE,Residential,Single Family Dwelling,,2274.5549,21159950201,POINT (5860925.304473035 3845436.4478220413)
41 SHIRLEY MOORE LANE,Residential,Single Family Dwelling,,5076.545,21159950202,POINT (5831537.061898975 3856141.480930474)
41 TROY DUSTINS PLACE,Residential,Single Family Dwelling,,1582.29,21159950300,POINT (5906625.956394805 3826371.2116697733)
41 VANCE HOLLOW,Residential,Single Family Dwelling,,988.9505,21159950201,POINT (5847770.591882388 3852248.8067279006)
41 WEST MAIN STREET,Commercial,Retail Trade,,10449.75,21159950202,POINT (5847671.338477185 3855125.831689471)
4100 NORTH WOLF CREEK,Unclassified,Unclassified,,4483.151,21159950100,POINT (5883546.077007627 3836911.416428374)
4104 ROCKCASTLE ROAD,Commercial,Retail Trade,,4186.497,21159950202,POINT (5844606.905343449 3870986.3447107067)
4106 PIGEON ROOST ROAD,Residential,Unclassified,,4285.377,21159950300,POINT (5878073.458080748 3808855.04993252)
4109 ROCKHOUSE ROAD,Residential,Single Family Dwelling,,824.111,21159950202,POINT (5831783.78035252 3836609.3157342398)
411 JACK CASSADY BRANCH,Unclassified,Unclassified,,2307.523,21159950201,POINT (5859530.4089782545 3835302.9153643306)
411 SPENCE BRANCH,Residential,Single Family Dwelling,,1846.013,21159950202,POINT (5834153.42219965 3874076.414800461)
4119 ROCKHOUSE ROAD,Residential,Single Family Dwelling,,1054.858,21159950202,POINT (5831688.535358323 3836607.931879894)
4119 TOMAHAWK ROAD,Residential,Single Family Dwelling,,1186.725,21159950202,POINT (5830047.29167834 3854402.2749129934)
412 BOWEN LANE,Residential,Single Family Dwelling,,1714.166,21159950202,POINT (5843648.69626658 3873189.1420288365)
412 HALLS BRANCH,Residential,Single Family Dwelling,,2109.749,21159950202,POINT (5831346.353172117 3859331.343440152)
4122 ROCKCASTLE ROAD,Unclassified,Unclassified,,4565.588,21159950202,POINT (5844754.240437804 3871070.959625861)
4126 PIGEON ROOST ROAD,Residential,Single Family Dwelling,,3296.464,21159950300,POINT (5878140.04219602 3808412.4454393885)
4129 NORTH WOLF CREEK,Residential,Unclassified,,1977.876,21159950100,POINT (5883233.301128303 3837027.8885777667)
4130 BLACKLOG ROAD,Residential,Unclassified,,2769.015,21159950201,POINT (5862588.369726138 3843613.665503363)
4132 NORTH WOLF CREEK,Residential,Unclassified,,3131.635,21159950100,POINT (5883471.379361927 3837029.672521997)
414 DAVELLA ROAD,Residential,Unclassified,,1846.016,21159950202,POINT (5837041.3247907935 3829737.227310807)
414 EAST MAIN STREET,Commercial,Retail Trade,,1318.585,21159950201,POINT (5849940.083416812 3855551.1619963315)
414 UNION ROAD,Unclassified,Unclassified,,3345.894,21159950202,POINT (5857864.55166418 3864387.0800131042)
4147 NORTH WOLF CREEK,Residential,Unclassified,,1450.455,21159950100,POINT (5883252.812792863 3837112.7413502815)
415 LITTLE LAUREL CREEK,Residential,Manufactured Home,,1285.619,21159950202,POINT (5844156.775191693 3884331.7714056117)
415 LITTLE LAUREL LANE,Residential,Manufactured Home,,2142.689,21159950202,POINT (5847339.763711224 3886427.8468989097)
4162 BLACKLOG ROAD,Residential,Single Family Dwelling,,4647.9932,21159950201,POINT (5862805.724640649 3843445.517418822)
4162 HODE ROAD,Residential,Unclassified,,4285.379,21159950100,POINT (5880757.117685244 3863151.884600018)
417 GRASSY MAYNARD CEMETERY,Residential,Single Family Dwelling,,1813.046,21159950202,POINT (5845862.233829164 3879677.8812205778)
417 LONG BRANCH,Unclassified,Unclassified,,3032.7273999999998,21159950300,POINT (5897040.924821944 3831231.2915534186)
4171 HODE ROAD,Unclassified,Unclassified,,1681.174,21159950100,POINT (5880619.406452479 3862952.3174005616)
4172 HODE ROAD,Residential,Unclassified,,1054.863,21159950100,POINT (5880653.617675426 3863110.331601648)
4177 NORTH WOLF CREEK,Residential,Manufactured Home,,2241.59,21159950100,POINT (5883294.133308962 3837280.0807273113)
418 BIG BRANCH,Residential,Manufactured Home,,2637.176,21159950100,POINT (5879414.094219558 3833264.0721860826)
418 LITTLE LICK ROAD,Residential,Single Family Dwelling,,4170.0244999999995,21159950202,POINT (5848877.769950245 3874714.573335346)
4184 HODE ROAD,Residential,Unclassified,,6246.7821,21159950100,POINT (5880552.678602536 3863412.7494483767)
4184 NORTH WOLF CREEK,Residential,Unclassified,,2769.013,21159950100,POINT (5883541.529747239 3837234.3020417006)
419 ROCKHOUSE MILLS ROAD,Residential,Manufactured Home,,2241.589,21159950202,POINT (5827858.964918805 3849790.014434393)
4192 BIG ELK ROAD,Residential,Single Family Dwelling,,3362.386,21159950100,POINT (5869469.116346729 3863951.384469345)
4192 ROCKCASTLE ROAD,Residential,Single Family Dwelling,,1845.999,21159950202,POINT (5844707.939256221 3871533.6749699623)
4195 NORTH WOLF CREEK,Residential,Manufactured Home,,2307.509,21159950100,POINT (5883384.713554671 3837496.9050830193)
4198 TOMAHAWK ROAD,Residential,Unclassified,,3016.2565,21159950202,POINT (5829893.523016074 3854851.3161406405)
42 BRUCE STREET,Residential,Unclassified,,2637.148,21159950100,POINT (5886644.149498282 3840339.36336926)
42 CLAY MOORE ROAD,Residential,Unclassified,,3098.6579,21159950300,POINT (5876406.8242682405 3824003.5906463694)
42 DYE BOTTOM,Residential,Unclassified,,1780.068,21159950300,POINT (5863932.811628438 3819822.7495896434)
42 EAST MAIN STREET,Government,Emergency Response,,18328.26,21159950201,POINT (5848143.86487043 3854894.324640184)
42 ELI LANE,Unclassified,Unclassified,,3164.593,21159950201,POINT (5828483.416900387 3820340.381862306)
42 FORD PLACE,Residential,Single Family Dwelling,,3626.101,21159950202,POINT (5831115.997700043 3852849.491327546)
42 FREDDIE MOORE DRIVE,Residential,Manufactured Home,,1977.857,21159950300,POINT (5875686.229990976 3812358.3675873)
42 GREEN BOTTOM,Residential,Single Family Dwelling,,791.1595,21159950202,POINT (5844799.805445468 3855393.182620429)
42 HAMMOND LANE,Residential,Manufactured Home,,988.941,21159950100,POINT (5865732.382555802 3871360.828296027)
42 HINKLE LOOP,Residential,Manufactured Home,,2933.8392999999996,21159950202,POINT (5829617.822520586 3848810.2900967803)
42 HOWARD SPENCE ROAD,Residential,Manufactured Home,,2505.3075,21159950202,POINT (5836604.037332919 3858993.1399531285)
42 JEWELL DRIVE,Residential,Single Family Dwelling,,3461.25,21159950100,POINT (5879792.396855756 3836880.141886296)
42 JOHN CASSIDY ROAD,Residential,Single Family Dwelling,,4697.429,21159950201,POINT (5858198.586606076 3841817.6316190334)
42 LUSTER LANE,Residential,Single Family Dwelling,,2373.447,21159950300,POINT (5873585.988310156 3824916.260356526)
42 MARCUM MOORE LANE,Residential,Single Family Dwelling,,6477.525,21159950201,POINT (5855980.410131139 3844723.1934409332)
42 MARY DRIVE,Residential,Single Family Dwelling,,2109.732,21159950201,POINT (5853383.777790559 3849693.7885359596)
42 QUAIL HOLLOW,Commercial,Retail Trade,,2373.441,21159950202,POINT (5846408.016853291 3856639.3806663984)
42 TAYLORS COURT,Commercial,Retail Trade,,1878.972,21159950100,POINT (5887509.578901379 3843465.0640909523)
420 MOORE BRANCH,Residential,Single Family Dwelling,,2505.293,21159950201,POINT (5854709.490253621 3843271.106516287)
4200 RIVER FRONT ROAD,Residential,Manufactured Home,,2637.167,21159950100,POINT (5892813.152648925 3838302.232521944)
4206 PIGEON ROOST ROAD,Residential,Single Family Dwelling,,1648.233,21159950300,POINT (5878197.003510901 3808195.8640720625)
421 WILDCAT BRANCH,Residential,Single Family Dwelling,,1483.406,21159950202,POINT (5824481.924030709 3847466.7884501177)
4214 HODE ROAD,Residential,Unclassified,,2637.143,21159950100,POINT (5880481.471342303 3863175.016856411)
4216 TOMAHAWK ROAD,Residential,Manufactured Home,,923.0094,21159950202,POINT (5829763.58236475 3854944.3957755608)
422 COLDWATER ROAD,Residential,Temporary Lodging,,4219.4371,21159950201,POINT (5853641.252647737 3848349.082414659)
422 DEMPSEY HOUSING STREET,Residential,Unclassified,,2109.721,21159950100,POINT (5882131.414855065 3853219.2608434167)
423 BLACKBERRY ROAD,Residential,Single Family Dwelling,,3461.26,21159950201,POINT (5841132.3815758405 3837921.4545191578)
4230 RIVER FRONT ROAD,Residential,Manufactured Home,,2241.6024,21159950100,POINT (5893091.706866316 3837851.730032188)
4236 TOMAHAWK ROAD,Residential,Single Family Dwelling,,2769.005,21159950202,POINT (5829682.684003331 3854954.1536452547)
424 BIG LICK ROAD,Residential,Manufactured Home,,890.0442,21159950202,POINT (5846553.384355545 3871624.245294633)
424 HAMMOND LOOP,Residential,Single Family Dwelling,,1582.295,21159950202,POINT (5846108.021233584 3881630.28824745)
424 LITTLE ROCKCASTLE ROAD,Residential,Single Family Dwelling,,2637.163,21159950201,POINT (5868174.822241728 3840841.7928279075)
4241 HODE ROAD,Residential,Single Family Dwelling,,1582.297,21159950100,POINT (5880224.214938025 3863263.836934179)
425 BIG ELK ROAD,Residential,Single Family Dwelling,,2670.117,21159950100,POINT (5876302.524457845 3847884.8225212866)
425 EMILY CREEK,Residential,Manufactured Home,,1120.802,21159950100,POINT (5883586.024039569 3829274.469457521)
425 JONES FORK,Unclassified,Unclassified,,2373.455,21159950201,POINT (5842272.189880807 3832435.8257048745)
425 ROCKHOUSE MILLS ROAD,Residential,Manufactured Home,,2834.939,21159950202,POINT (5827930.034819829 3849995.708673683)
425 VENTERS BRANCH,Residential,Single Family Dwelling,,1153.739,21159950201,POINT (5843061.59460718 3833595.4594953693)
4252 BLACKLOG ROAD,Residential,Single Family Dwelling,,4351.3074,21159950201,POINT (5863149.671184199 3843280.826395405)
4252 ROCKCASTLE ROAD,Residential,Manufactured Home,,1516.3739,21159950202,POINT (5844548.416108272 3871922.8384054126)
4257 NORTH WOLF CREEK,Residential,Unclassified,,3164.582,21159950100,POINT (5883494.248385415 3837682.4789674855)
4260 NORTH MILO ROAD,Residential,Single Family Dwelling,,2637.131,21159950202,POINT (5839498.222747123 3874156.4682641234)
427 FROG POND ROAD,Residential,Manufactured Home,,2900.8706,21159950100,POINT (5873875.525528311 3829923.013658532)
